id,first_name,last_name,email,personal_email,gender,date_of_birth,join_date,left_date,campus_id,promotion
822491,Alexa,Reid,Alexa.Reid@supinfo.com,Mauris.eu@sempererat.ca,Mme,1980-12-02,2018-01-24,2021-10-26,3,MSC1
777624,Andrew,Hart,Andrew.Hart@supinfo.com,pede@tinciduntnibh.ca,M.,1989-02-27,2020-06-03,2021-05-24,2,BSC
573159,Keane,Carey,Keane.Carey@supinfo.com,lobortis.tellus.justo@metusfacilisis.com,M.,1989-11-10,2013-08-13,2022-01-01,4,MSC2
337746,Chandler,Burt,Chandler.Burt@supinfo.com,ridiculus.mus.Donec@diamDuis.ca,M.,1986-04-08,2015-11-10,2025-11-11,2,MSC1
506857,Gil,Middleton,Gil.Middleton@supinfo.com,Fusce.dolor.quam@auctor.edu,Mme,1986-01-05,2017-04-02,2022-10-22,3,ASC1
388761,Aquila,Velez,Aquila.Velez@supinfo.com,elit@adipiscingMauris.co.uk,Mme,1982-06-03,2016-12-07,2017-09-26,3,BSC
569810,Len,Crosby,Len.Crosby@supinfo.com,ac@hendrerit.com,Mme,1987-10-26,2019-09-30,2023-11-24,4,MSC2
327484,Darryl,Smith,Darryl.Smith@supinfo.com,et.malesuada@neque.co.uk,M.,1982-05-13,2021-09-23,2025-07-19,1,ASC2
758587,Timon,Briggs,Timon.Briggs@supinfo.com,dui.quis@tristiquesenectuset.net,M.,1995-07-18,2013-03-31,2022-03-14,3,MSC1
987598,Hiram,Gallegos,Hiram.Gallegos@supinfo.com,senectus@nec.org,Mme,1989-09-06,2020-03-06,2023-06-07,3,ASC1
723257,Elmo,Strickland,Elmo.Strickland@supinfo.com,orci@Donecnibh.ca,Mme,1997-08-26,2014-01-12,2023-01-18,1,MSC2
210525,Plato,Wise,Plato.Wise@supinfo.com,Praesent.eu@tortorIntegeraliquam.ca,Mme,1995-02-08,2020-04-11,2018-10-12,4,ASC2
877773,Rogan,Rasmussen,Rogan.Rasmussen@supinfo.com,quam@magna.org,M.,2000-02-10,2016-07-25,2022-03-18,4,ASC2
651777,Whilemina,Poole,Whilemina.Poole@supinfo.com,neque.Morbi@condimentum.ca,Mme,1988-04-06,2015-04-07,2024-02-16,1,ASC2
731568,Jessica,Mercer,Jessica.Mercer@supinfo.com,Quisque@Inatpede.org,Mme,1981-09-02,2013-08-18,2016-08-28,1,BSC
666836,Tanner,Trujillo,Tanner.Trujillo@supinfo.com,neque.pellentesque@incursus.org,M.,1984-05-01,2017-08-19,2016-11-01,4,BSC
406226,Shafira,Ellison,Shafira.Ellison@supinfo.com,iaculis.nec@Crasvulputatevelit.com,Mme,1994-02-26,2017-05-02,2019-04-08,3,MSC2
600154,Jane,Salazar,Jane.Salazar@supinfo.com,porttitor.vulputate@tellusPhaselluselit.co.uk,Mme,1991-01-10,2020-08-05,2027-01-26,3,MSC1
704487,Hedley,Michael,Hedley.Michael@supinfo.com,gravida.molestie.arcu@commodoipsum.edu,M.,1989-09-05,2015-01-11,2025-09-12,2,BSC
307620,Garrett,Blevins,Garrett.Blevins@supinfo.com,augue.Sed@necurna.com,Mme,1981-05-24,2015-12-16,2016-01-22,1,MSC1
795075,Montana,Glass,Montana.Glass@supinfo.com,nec.enim.Nunc@asollicitudinorci.com,M.,1993-04-30,2013-09-25,2020-04-11,3,MSC1
813097,Angela,Whitehead,Angela.Whitehead@supinfo.com,enim.Suspendisse@egestasa.com,Mme,1991-02-24,2021-06-20,2023-10-01,4,BSC
492263,Travis,Nichols,Travis.Nichols@supinfo.com,mattis.velit@massaVestibulumaccumsan.com,M.,1985-11-22,2017-09-26,2019-07-28,2,ASC2
544310,Dana,King,Dana.King@supinfo.com,enim.Etiam@miDuisrisus.ca,M.,1982-02-19,2021-04-21,2023-04-17,4,ASC2
857164,Cora,Reilly,Cora.Reilly@supinfo.com,nec.urna@augueeutellus.co.uk,Mme,2000-04-28,2014-02-22,2019-10-02,4,MSC1
967404,Bryar,Salazar,Bryar.Salazar@supinfo.com,Aliquam@acturpis.edu,M.,1987-05-13,2016-04-10,2019-03-13,4,ASC2
754136,Chadwick,Kerr,Chadwick.Kerr@supinfo.com,ornare.placerat@orci.ca,Mme,1997-08-22,2020-07-09,2022-02-16,1,ASC1
348464,MacKenzie,Steele,MacKenzie.Steele@supinfo.com,bibendum@tortor.com,M.,1996-10-29,2020-10-08,2014-05-09,3,BSC
865732,Brenda,Levine,Brenda.Levine@supinfo.com,consequat.enim.diam@tellus.ca,Mme,1996-12-09,2019-01-21,2026-06-17,2,MSC2
629692,Debra,Olson,Debra.Olson@supinfo.com,pharetra.Nam.ac@Donectemporest.net,M.,1990-08-18,2019-03-08,2014-01-24,1,ASC2
437334,Florence,House,Florence.House@supinfo.com,fringilla@nulla.net,Mme,1990-12-29,2013-11-07,2015-08-11,4,MSC1
938151,Sylvia,Bailey,Sylvia.Bailey@supinfo.com,Duis@egestas.com,M.,1991-08-04,2012-12-11,2016-04-01,1,BSC
276330,Karyn,Lyons,Karyn.Lyons@supinfo.com,aliquet@scelerisquemollis.ca,M.,1980-09-23,2020-09-20,2017-11-22,1,MSC1
311116,Lars,Fitzpatrick,Lars.Fitzpatrick@supinfo.com,diam.at@diamat.co.uk,M.,1991-05-08,2019-06-18,2019-07-09,4,MSC1
394659,Quynn,Trevino,Quynn.Trevino@supinfo.com,velit.eget@orcitincidunt.edu,M.,1997-10-04,2021-05-27,2015-09-28,2,BSC
894724,Travis,Wheeler,Travis.Wheeler@supinfo.com,et@vel.com,Mme,2002-08-11,2020-06-21,2016-07-14,1,MSC2
711729,Shaine,Knox,Shaine.Knox@supinfo.com,ullamcorper@sed.co.uk,M.,1981-09-08,2020-09-04,2027-08-17,4,ASC2
885395,Daphne,Rosario,Daphne.Rosario@supinfo.com,sit.amet@risus.edu,M.,1990-10-08,2019-08-25,2019-01-30,4,BSC
499731,Porter,Garcia,Porter.Garcia@supinfo.com,nunc.nulla@egetmollis.edu,M.,1995-06-03,2012-11-27,2019-04-07,4,ASC2
850120,Vivian,Dominguez,Vivian.Dominguez@supinfo.com,commodo.tincidunt.nibh@magnaUttincidunt.org,M.,1998-05-09,2015-12-25,2026-08-16,2,ASC1
478473,Mia,Drake,Mia.Drake@supinfo.com,eros.non.enim@sociosqu.co.uk,M.,1987-07-01,2019-05-22,2026-07-30,3,MSC1
864697,Kay,Torres,Kay.Torres@supinfo.com,malesuada.malesuada.Integer@vulputatemauris.net,M.,1988-11-29,2017-10-04,2022-04-10,1,MSC2
726366,Irene,Simpson,Irene.Simpson@supinfo.com,montes@nonvestibulumnec.edu,Mme,1993-01-19,2016-07-14,2021-03-23,2,MSC1
637658,Veda,Cash,Veda.Cash@supinfo.com,tellus@lectus.net,Mme,1994-08-20,2015-11-11,2013-08-01,3,ASC2
228126,David,Rutledge,David.Rutledge@supinfo.com,dui.Suspendisse.ac@sitamet.org,Mme,1988-09-30,2021-05-10,2026-09-08,3,ASC2
863658,Walter,Walter,Walter.Walter@supinfo.com,blandit.enim@In.ca,M.,1993-04-02,2018-08-24,2021-04-13,4,MSC1
810662,Remedios,Poole,Remedios.Poole@supinfo.com,luctus@dignissimtemporarcu.net,M.,2002-09-04,2015-06-21,2018-03-27,1,BSC
507591,Charles,Gilliam,Charles.Gilliam@supinfo.com,enim@CrasinterdumNunc.ca,M.,2003-06-19,2020-04-10,2023-05-29,1,ASC1
592474,Claire,Foreman,Claire.Foreman@supinfo.com,mus.Donec.dignissim@In.org,M.,1988-06-20,2017-06-18,2023-02-07,4,MSC2
673509,Wade,Anthony,Wade.Anthony@supinfo.com,ac.ipsum.Phasellus@consectetuereuismodest.org,Mme,1984-06-11,2021-05-25,2021-08-30,1,ASC1
692757,Laurel,Morgan,Laurel.Morgan@supinfo.com,dui@hendreritconsectetuer.co.uk,Mme,1991-05-05,2018-12-10,2023-06-09,3,MSC1
545771,Naida,Shepherd,Naida.Shepherd@supinfo.com,In.at.pede@sitametlorem.com,M.,1982-02-23,2020-12-07,2013-11-02,1,MSC2
991869,Ann,Davidson,Ann.Davidson@supinfo.com,a.sollicitudin@tempus.ca,M.,1980-10-10,2017-10-08,2023-10-24,4,ASC2
278468,Nomlanga,Nichols,Nomlanga.Nichols@supinfo.com,libero.est.congue@Etiambibendumfermentum.org,Mme,1983-01-19,2018-12-08,2021-04-24,3,BSC
622424,Ezra,Powers,Ezra.Powers@supinfo.com,lorem.sit.amet@arcuVestibulumante.net,M.,2003-02-21,2018-08-08,2014-08-17,3,MSC2
737230,Cameron,Deleon,Cameron.Deleon@supinfo.com,Cras@facilisisvitae.net,Mme,1997-08-16,2015-12-25,2026-10-13,3,ASC2
233962,Dane,Murray,Dane.Murray@supinfo.com,Proin.velit.Sed@Duismi.com,M.,1992-01-03,2015-02-17,2016-10-12,3,ASC2
294532,Karly,Garrison,Karly.Garrison@supinfo.com,risus@molestieintempus.edu,M.,1998-11-01,2020-09-29,2017-01-04,4,ASC2
475538,Lawrence,Decker,Lawrence.Decker@supinfo.com,in.faucibus.orci@eteros.net,M.,1994-01-23,2012-11-07,2023-11-05,4,MSC2
663279,Nola,Rodriquez,Nola.Rodriquez@supinfo.com,sapien.cursus.in@euismod.com,M.,1989-07-31,2018-10-01,2023-09-14,4,BSC
185515,Nyssa,Foley,Nyssa.Foley@supinfo.com,lacus.Quisque@lobortis.edu,M.,2002-11-02,2017-09-19,2019-06-30,3,MSC2
556903,Jennifer,Bush,Jennifer.Bush@supinfo.com,metus@nonenim.co.uk,Mme,2001-10-06,2018-01-26,2023-07-18,2,ASC1
771540,Rashad,Rivera,Rashad.Rivera@supinfo.com,sit.amet@magnaSuspendissetristique.com,Mme,1999-11-15,2021-04-30,2020-03-28,1,ASC1
159682,Oren,Ball,Oren.Ball@supinfo.com,lectus.rutrum.urna@nullaInteger.edu,Mme,1995-08-18,2019-06-04,2015-09-20,1,MSC1
464859,Jeanette,Mckay,Jeanette.Mckay@supinfo.com,tellus.id.nunc@laoreetliberoet.co.uk,M.,1985-04-01,2013-11-11,2025-06-02,2,ASC1
382754,Stephen,Cleveland,Stephen.Cleveland@supinfo.com,Aliquam.nisl.Nulla@dictummiac.ca,Mme,1980-03-18,2015-03-29,2023-11-01,1,BSC
922148,Fay,Mejia,Fay.Mejia@supinfo.com,posuere@eutellus.co.uk,Mme,1983-12-20,2019-12-20,2026-07-10,3,ASC1
605328,Claire,Hatfield,Claire.Hatfield@supinfo.com,ultricies.dignissim@hendrerit.co.uk,Mme,1990-05-01,2018-12-30,2020-04-10,3,BSC
941863,Oren,Buck,Oren.Buck@supinfo.com,magna@elitdictum.co.uk,M.,1986-05-13,2021-04-13,2020-03-05,2,ASC1
819528,Omar,Cote,Omar.Cote@supinfo.com,Nullam.feugiat.placerat@eu.net,M.,1996-10-20,2021-04-09,2014-04-26,1,ASC2
654931,Madeson,Dorsey,Madeson.Dorsey@supinfo.com,aliquet.diam.Sed@erat.ca,M.,1984-04-26,2021-08-30,2023-03-31,2,ASC2
812913,Guinevere,Doyle,Guinevere.Doyle@supinfo.com,quis@nisinibh.edu,Mme,1980-10-10,2019-07-12,2017-01-01,4,ASC2
504522,Burke,Andrews,Burke.Andrews@supinfo.com,luctus@ornare.edu,Mme,1987-08-16,2020-10-20,2019-10-28,1,MSC2
168994,Calista,Preston,Calista.Preston@supinfo.com,Nulla.tempor@cursusNunc.net,Mme,2003-05-10,2018-09-17,2024-11-09,4,MSC1
786537,Zachary,Fernandez,Zachary.Fernandez@supinfo.com,sem.elit.pharetra@antedictummi.net,Mme,1988-11-26,2016-03-27,2017-10-21,4,BSC
748521,Ivana,Delgado,Ivana.Delgado@supinfo.com,Vivamus@etlacinia.co.uk,Mme,1980-09-04,2013-04-18,2024-02-14,1,BSC
360483,Savannah,Hurley,Savannah.Hurley@supinfo.com,adipiscing@Utsemperpretium.edu,Mme,1991-05-27,2020-10-27,2013-12-26,1,ASC2
129415,John,Ryan,John.Ryan@supinfo.com,Maecenas.ornare@Phasellusnulla.ca,M.,1994-07-17,2018-12-09,2025-06-20,1,BSC
157521,Vera,Duncan,Vera.Duncan@supinfo.com,ac@consectetueripsumnunc.net,Mme,2000-11-19,2016-06-11,2015-01-20,1,ASC1
831671,Althea,Warren,Althea.Warren@supinfo.com,gravida.nunc@ligulaNullamfeugiat.ca,M.,1990-02-26,2015-08-15,2024-03-31,3,MSC2
868622,Yolanda,Patton,Yolanda.Patton@supinfo.com,libero.Proin.sed@tempor.edu,M.,1983-10-15,2015-06-16,2019-01-21,3,ASC1
851999,Mercedes,Reeves,Mercedes.Reeves@supinfo.com,convallis.dolor.Quisque@litora.org,M.,1994-08-05,2021-02-10,2021-06-06,2,ASC1
587683,Lysandra,Park,Lysandra.Park@supinfo.com,eleifend.nunc@tinciduntnunc.org,Mme,1997-12-24,2021-07-01,2016-04-05,3,BSC
749613,Kaden,Whitehead,Kaden.Whitehead@supinfo.com,lacus.Quisque@convallis.net,Mme,1992-12-10,2018-01-28,2014-08-24,3,MSC1
718148,Emerson,Sandoval,Emerson.Sandoval@supinfo.com,elit.pharetra@semPellentesque.com,M.,1996-08-17,2016-09-23,2026-06-09,1,MSC2
983764,Ginger,Barron,Ginger.Barron@supinfo.com,egestas.ligula@aliquam.co.uk,M.,1992-08-01,2014-10-22,2013-10-11,4,MSC2
213046,Brynne,Mcintyre,Brynne.Mcintyre@supinfo.com,id@intempus.com,M.,1994-01-29,2015-07-27,2013-09-14,3,MSC2
270912,Guy,Wilder,Guy.Wilder@supinfo.com,ut.ipsum.ac@eget.com,M.,1998-09-20,2014-08-28,2023-07-05,4,ASC1
691136,Victor,Long,Victor.Long@supinfo.com,dolor@iaculis.co.uk,M.,1995-11-27,2021-07-23,2015-04-09,2,ASC2
223039,Rigel,Sanford,Rigel.Sanford@supinfo.com,Suspendisse.aliquet.molestie@arcuAliquam.org,M.,1981-01-21,2020-08-13,2026-06-08,1,ASC1
397490,Caleb,Austin,Caleb.Austin@supinfo.com,ante.Maecenas@tellusAeneanegestas.co.uk,Mme,1998-04-09,2021-05-20,2016-09-11,2,ASC1
254185,Quyn,Murray,Quyn.Murray@supinfo.com,nec.leo@loremeu.com,M.,1990-01-14,2021-03-16,2025-12-16,3,BSC
192631,Graiden,Perez,Graiden.Perez@supinfo.com,natoque@et.com,Mme,1985-07-10,2017-08-27,2027-04-24,3,MSC1
384410,Adele,Heath,Adele.Heath@supinfo.com,placerat@interdum.com,M.,1998-02-27,2019-01-23,2016-03-26,4,ASC2
314765,Leo,Mccullough,Leo.Mccullough@supinfo.com,eu.tempor@auctor.edu,M.,2000-05-31,2013-08-27,2027-04-02,4,ASC1
615267,Tarik,Camacho,Tarik.Camacho@supinfo.com,iaculis.aliquet.diam@utquamvel.edu,Mme,1996-01-15,2021-06-15,2025-08-11,2,MSC1
286663,Lavinia,Joyce,Lavinia.Joyce@supinfo.com,id.ante.Nunc@ideratEtiam.ca,Mme,1981-01-15,2016-04-17,2027-01-06,2,MSC2
446976,Constance,Dale,Constance.Dale@supinfo.com,mollis@congueelit.org,Mme,1992-10-26,2014-01-22,2021-11-01,3,BSC
394493,Regan,Colon,Regan.Colon@supinfo.com,eu@diamSed.org,M.,1986-10-20,2020-02-02,2024-08-29,1,ASC2
315932,Signe,Morris,Signe.Morris@supinfo.com,nunc@acnulla.net,M.,1985-03-11,2015-04-16,2016-02-22,2,MSC1
465513,Jolene,Rutledge,Jolene.Rutledge@supinfo.com,nascetur.ridiculus.mus@eusem.co.uk,Mme,1987-01-13,2016-03-12,2020-04-23,2,MSC1
352014,Sopoline,Reynolds,Sopoline.Reynolds@supinfo.com,tortor@acmattis.org,M.,1988-05-12,2013-10-11,2015-10-25,4,BSC
240366,Xerxes,Watkins,Xerxes.Watkins@supinfo.com,semper.auctor.Mauris@Quisque.net,Mme,1995-05-09,2017-01-05,2014-12-12,1,MSC1
812881,Keelie,Pena,Keelie.Pena@supinfo.com,scelerisque.neque.Nullam@Donecsollicitudinadipiscing.ca,M.,1994-12-05,2015-06-03,2024-02-22,1,ASC2
535134,Karleigh,Workman,Karleigh.Workman@supinfo.com,nascetur@ridiculusmus.co.uk,Mme,2001-11-30,2019-05-17,2016-08-07,1,ASC1
277717,Clarke,Lindsay,Clarke.Lindsay@supinfo.com,erat.Vivamus.nisi@laoreetposuere.edu,M.,1985-10-06,2021-01-08,2024-09-08,4,ASC1
389566,Aretha,Kirkland,Aretha.Kirkland@supinfo.com,egestas.Aliquam@Sednuncest.ca,M.,2003-11-22,2019-09-07,2013-08-01,2,ASC1
352149,Blake,Gamble,Blake.Gamble@supinfo.com,Aenean@turpisnecmauris.edu,M.,2002-02-08,2015-05-01,2019-05-28,3,MSC2
388728,Stephanie,Osborn,Stephanie.Osborn@supinfo.com,in@eueleifendnec.com,M.,1982-07-01,2013-07-03,2015-10-04,1,MSC1
190822,Sloane,Knapp,Sloane.Knapp@supinfo.com,sapien.cursus@Sed.co.uk,Mme,1993-11-22,2013-01-25,2018-11-05,3,MSC2
715190,Ferdinand,Mooney,Ferdinand.Mooney@supinfo.com,Nunc@id.com,M.,1981-07-27,2013-01-23,2026-05-13,1,MSC1
430646,Dillon,Browning,Dillon.Browning@supinfo.com,ligula.tortor.dictum@musDonecdignissim.co.uk,M.,2003-02-03,2020-08-24,2014-04-22,2,ASC1
705835,Anastasia,Mcgowan,Anastasia.Mcgowan@supinfo.com,Suspendisse.aliquet.molestie@risusQuisque.ca,M.,2002-09-29,2015-02-26,2021-09-04,3,ASC1
519125,Ross,Reed,Ross.Reed@supinfo.com,sed.tortor.Integer@Maurisquis.edu,M.,1988-05-31,2020-04-28,2023-02-09,3,MSC2
249236,Xanthus,Wynn,Xanthus.Wynn@supinfo.com,adipiscing.lobortis.risus@Maurisblandit.net,M.,1984-12-04,2020-09-22,2019-12-30,2,ASC2
208488,Ralph,Stanton,Ralph.Stanton@supinfo.com,Cras.interdum@Nullamsuscipit.org,Mme,1998-09-07,2016-09-01,2019-03-07,3,ASC1
109989,David,Morin,David.Morin@supinfo.com,hendrerit.a@nislMaecenasmalesuada.net,M.,1987-12-07,2018-04-05,2018-05-20,3,ASC2
744060,Zelda,Duran,Zelda.Duran@supinfo.com,tortor@Vivamusrhoncus.edu,Mme,1981-01-06,2015-11-29,2014-04-27,1,BSC
513865,Gillian,Best,Gillian.Best@supinfo.com,tellus.lorem@Crasvulputatevelit.co.uk,Mme,1995-01-04,2014-12-08,2027-08-15,1,ASC1
547804,Simone,Melendez,Simone.Melendez@supinfo.com,Vivamus.nibh.dolor@egetmetuseu.com,Mme,1984-08-02,2013-12-25,2027-07-28,1,ASC2
195943,Daniel,Stone,Daniel.Stone@supinfo.com,ante.Vivamus.non@nonvestibulum.org,M.,1983-08-22,2016-09-22,2014-02-12,2,ASC1
191597,Ralph,Lamb,Ralph.Lamb@supinfo.com,sit.amet@semPellentesqueut.net,M.,1996-02-19,2021-03-15,2024-05-24,4,MSC1
232375,Dana,Harris,Dana.Harris@supinfo.com,consequat.auctor@malesuadaaugueut.net,M.,1990-04-19,2015-10-12,2025-02-09,3,BSC
248796,Amery,George,Amery.George@supinfo.com,libero.at@Phasellusornare.org,M.,1987-11-13,2019-10-19,2016-09-26,1,ASC1
270177,Berk,Leonard,Berk.Leonard@supinfo.com,elementum.purus.accumsan@magnaDuis.co.uk,M.,1998-09-01,2018-03-20,2023-07-02,2,ASC1
409131,Gwendolyn,Dickson,Gwendolyn.Dickson@supinfo.com,pede.ac@sem.co.uk,M.,1996-06-30,2021-05-16,2015-11-22,2,ASC2
451901,Lareina,Shannon,Lareina.Shannon@supinfo.com,ac@ligulatortordictum.co.uk,M.,2000-02-08,2020-01-28,2015-01-23,1,BSC
507530,Kibo,Castaneda,Kibo.Castaneda@supinfo.com,senectus.et@urnaet.co.uk,Mme,1988-09-04,2016-04-13,2016-12-16,1,MSC2
723989,Ezekiel,Moss,Ezekiel.Moss@supinfo.com,eu.enim@tinciduntadipiscingMauris.ca,M.,1982-09-16,2020-10-22,2014-03-30,4,MSC2
480186,Molly,Hernandez,Molly.Hernandez@supinfo.com,In@ornare.com,Mme,1981-03-08,2021-01-03,2014-02-11,3,MSC2
887388,Fletcher,Meyers,Fletcher.Meyers@supinfo.com,massa.Mauris@convallisante.com,M.,1985-05-10,2017-06-10,2019-07-23,4,MSC2
